檔號	起點	新短名	代碼	導師全集書名	舊短名
0	a	總	toc	妙雲集總目	般若
1	a	妙	miao	妙雲集序目	
1		金	vcpp	金剛經講記	
1	143	心	pph	心經講記	
2		寶	mhrk	寶積經講記	寶積
3		勝	ssemv	勝鬘經講記	勝鬘
4		藥	bvpt	藥師經講記	藥師
5		頌	mmk	中觀論頌講記	中論
6		攝	mhysg	攝大乘論講記	攝大
7		信	mhysp	大乘起信論講記	起信
8		概序	gaix	佛法概論序	概論
8		概	gai	佛法概論	
9		觀序	guanx	中觀今論	中觀
9		觀	guan	中觀今論	
10	a	唯題	vijnz	題唯識學探源	唯識
10	b	唯序	vijnx	唯識學探源序	
10		唯	vijn	唯識學探源	
11		性	suny	性空學探源	性空
12	a	成序	chengx	成佛之道序	成佛
12	b	成偈	chengz  成佛之道偈	
12		成	cheng	成佛之道	
13	a	虛序	xux	太虛大師年譜序	太虛
13	b	虛附	xuz	太虛大師年譜附	太虛
13		虛	xu	太虛大師年譜	
14		人	ren	佛在人間	人間
15		學	xue	學佛三要	三要
16		研	yan	以佛法研究佛法	研究
17		淨	jing	淨土與禪	淨土
18		青	qing	青年的佛教	青年
19		我	wo	我之宗教觀	我之
20		無	wu	無諍之辯	無諍
21		制	zhi	教制教典與教學	教制
22		史	shi	佛教史地考論	史地
23		雨	yu	華雨香雲	華雨
24		救	jiu	佛法是救世之光	救世
25	a	華序	hyx	華雨集序	華雨
25		壹	hya	華雨集一	
26		貳	hyb	華雨集二	華二
27		叄	hyc	華雨集三	華三
28		肆	hyd	華雨集四	華四
29		伍	hye	華雨集五	華五
30	a	雜	sax	雜阿含經論會編	雜含上
30	b	類	saz	部類之整編	
30		上	saa	雜阿含經論會編	
31		中	sab	雜阿含經論會編	雜含中
32		下	sac	雜阿含經論會編	雜含下
33	a	印序	yinx	印度之佛教序	印度
33	b	印後	yinz	印度之佛教後記	
33		印	yin	印度之佛教	
34	a	想序	xiangx	印度佛教思想史	思想
34	b	想例	xiangz	思想史凡例	
34		想	xiang	印度佛教思想史	
35	a	原序	yuanx	原始佛教聖典	集成
35		原	yuan	原始佛教聖典	
36	a	有序	srvstx	說一切有部為主	有部
36		有	srvst	說一切有部為主	
37	a	初序	chux	初期大乘起源	初期
37	b	初序	chuz	初期大乘凡例	
37		初	chu	初期大乘起源	
38	a	探序	tanx	空之探究序	探究
38		探	tan	空之探究	
39	a	如序	rux	如來藏之研究序	如來藏
39		如	ru	如來藏之研究	
40	a	禪序	chanx	中國禪宗史序	禪宗
40		禪	chan	中國禪宗史	
41		平	ping	平凡的一生	平凡
42	a	註序	zhux	成佛之道序	成佛註
42	b	註偈	zhuz	成佛之道偈	
42		註	zhu	成佛之道	
43	a	永序	yongx	永光集序	永光
43		永	yong	永光集（）	
44		蘊	yun	廣五蘊論講記	五蘊